epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.10411,1.95718,3.05459,1.95358,0.78058,0.30161,0.67085,0.26468,1.83247,3.15402,1.77617,0.000657407,0.000657407,0.000657407
2,14.1777,1.57026,1.95237,1.61952,0.68561,0.23729,0.32756,0.10491,2.13415,2.90075,2.12537,0.00125853,0.00125853,0.00125853
3,19.3273,1.52855,1.60478,1.62837,0.91916,0.67797,0.83814,0.27734,2.26755,1.65568,2.48689,0.00179366,0.00179366,0.00179366
4,24.1772,1.49265,1.40214,1.58426,0.91708,0.7499,0.91123,0.40342,1.85713,1.19493,2.05164,0.001703,0.001703,0.001703
5,29.2259,1.43734,1.23875,1.57506,0.88499,0.79661,0.9153,0.38004,1.96135,1.25651,2.14123,0.001604,0.001604,0.001604
6,34.541,1.37394,1.10396,1.53478,0.79721,0.74576,0.80023,0.26596,2.31293,1.06581,2.71096,0.001505,0.001505,0.001505
7,39.34,1.27621,0.99581,1.46859,0.84377,0.8239,0.76314,0.21514,2.56777,0.98567,3.31904,0.001406,0.001406,0.001406
8,44.3813,1.27268,0.96381,1.46796,0.92749,0.9322,0.95006,0.37147,1.96657,0.82015,2.38653,0.001307,0.001307,0.001307
9,49.3019,1.23216,0.87362,1.44108,0.96088,0.9322,0.97216,0.45353,1.90655,0.80373,2.19883,0.001208,0.001208,0.001208
10,54.5422,1.2,0.88764,1.42816,0.90978,0.91525,0.95841,0.37869,2.06372,0.82549,2.56799,0.001109,0.001109,0.001109
11,60.5467,1.0754,0.69651,1.39967,0.90239,0.91525,0.95094,0.38599,1.9955,0.79114,2.33305,0.00101,0.00101,0.00101
12,65.2699,1.00467,0.62142,1.35914,0.92992,0.9661,0.96434,0.43846,1.89794,0.71355,2.30596,0.000911,0.000911,0.000911
13,70.3513,0.97725,0.58271,1.32031,0.9328,0.94121,0.96197,0.40155,2.11114,0.74576,2.9082,0.000812,0.000812,0.000812
14,75.3193,0.92127,0.54883,1.28695,0.94819,0.9661,0.97357,0.44943,1.87275,0.71664,2.55128,0.000713,0.000713,0.000713
15,79.8105,0.83611,0.50485,1.20241,0.93178,0.9322,0.96128,0.37289,2.08882,0.72163,3.08799,0.000614,0.000614,0.000614
16,84.9162,0.79143,0.48497,1.16983,0.96381,0.9661,0.96931,0.45293,1.79377,0.6435,2.4368,0.000515,0.000515,0.000515
17,89.7545,0.72229,0.43804,1.13056,0.94521,0.9661,0.96998,0.48127,1.8724,0.65461,2.54489,0.000416,0.000416,0.000416
18,94.5504,0.68541,0.41828,1.09335,0.96412,0.9661,0.9654,0.45226,1.90107,0.65127,2.68272,0.000317,0.000317,0.000317
19,99.6616,0.65667,0.41401,1.05755,0.96419,0.9661,0.9673,0.46636,1.89447,0.65275,2.76638,0.000218,0.000218,0.000218
20,105.151,0.61283,0.3864,1.03017,0.96341,0.9661,0.96989,0.44083,1.93955,0.6884,2.90175,0.000119,0.000119,0.000119
