epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.47101,2.34204,3.25323,2.30385,0.33009,0.20339,0.18114,0.0537,2.54225,3.46223,2.61666,0.000657407,0.000657407,0.000657407
2,13.7571,1.84321,2.3313,1.88325,0.41692,0.40678,0.31915,0.09014,2.63616,2.3729,2.70697,0.00129786,0.00129786,0.00129786
3,18.8182,1.82635,2.04452,1.8991,0.29332,0.35593,0.28214,0.09519,2.36714,2.06426,2.37518,0.00191191,0.00191191,0.00191191
4,24.4071,1.78065,1.80728,1.86016,0.1759,0.25424,0.10369,0.02944,2.80766,2.56979,2.65242,0.0018812,0.0018812,0.0018812
5,28.9924,1.76817,1.73379,1.83152,0.36092,0.37288,0.31315,0.07431,2.43897,2.23149,2.66646,0.0018416,0.0018416,0.0018416
6,34.6718,1.64108,1.59008,1.74206,0.39121,0.54237,0.41853,0.09642,2.6192,1.79515,2.79597,0.001802,0.001802,0.001802
7,39.4277,1.63077,1.52648,1.71401,0.27492,0.49153,0.25989,0.06212,2.51573,2.16792,2.74421,0.0017624,0.0017624,0.0017624
8,44.2588,1.61025,1.49093,1.70121,0.42301,0.47221,0.36949,0.08762,2.69204,2.19411,3.03472,0.0017228,0.0017228,0.0017228
9,49.0351,1.56495,1.40568,1.66476,0.40662,0.49153,0.35208,0.07247,2.78009,2.04987,3.37552,0.0016832,0.0016832,0.0016832
10,53.7462,1.55344,1.38191,1.65576,0.42795,0.44383,0.40493,0.08702,2.9684,1.93599,3.56005,0.0016436,0.0016436,0.0016436
11,59.1148,1.49705,1.28657,1.59506,0.43053,0.52537,0.39786,0.08628,2.54074,1.84328,2.80657,0.001604,0.001604,0.001604
12,64.0176,1.47996,1.29805,1.58477,0.40377,0.47458,0.38466,0.09653,2.58244,2.10242,3.04706,0.0015644,0.0015644,0.0015644
13,68.9159,1.42726,1.2025,1.52633,0.45444,0.45763,0.38415,0.09564,2.80594,1.84855,3.26609,0.0015248,0.0015248,0.0015248
14,73.4468,1.37747,1.14929,1.48372,0.4934,0.42373,0.35653,0.09691,2.5964,1.83519,2.88964,0.0014852,0.0014852,0.0014852
15,78.8569,1.34425,1.08642,1.45356,0.54837,0.40678,0.4012,0.11197,2.67975,1.96569,2.89683,0.0014456,0.0014456,0.0014456
16,83.9292,1.32088,1.06026,1.43604,0.52603,0.38983,0.40054,0.08028,3.05125,1.76749,3.88979,0.001406,0.001406,0.001406
17,88.2797,1.27663,1.00988,1.40211,0.47034,0.50847,0.36937,0.09662,2.81398,1.77298,3.47707,0.0013664,0.0013664,0.0013664
18,93.9735,1.27663,1.00326,1.38893,0.54742,0.57405,0.46247,0.1173,2.53252,1.84932,2.90863,0.0013268,0.0013268,0.0013268
19,98.7758,1.22547,0.94628,1.36302,0.48965,0.45763,0.31093,0.08147,3.17126,1.77996,4.38995,0.0012872,0.0012872,0.0012872
20,104.23,1.20406,0.93077,1.34451,0.39114,0.45763,0.30267,0.08536,2.90817,1.77352,3.5283,0.0012476,0.0012476,0.0012476
21,108.874,1.1532,0.86471,1.28741,0.45748,0.47458,0.372,0.10335,2.79221,1.63316,3.21411,0.001208,0.001208,0.001208
22,114.17,1.14159,0.88093,1.28809,0.63919,0.47458,0.52723,0.14266,2.70264,1.62346,3.09088,0.0011684,0.0011684,0.0011684
23,119.477,1.10947,0.83506,1.26234,0.49532,0.49153,0.41779,0.09502,2.95334,1.76159,4.01885,0.0011288,0.0011288,0.0011288
24,124.471,1.10926,0.82502,1.25383,0.46658,0.47458,0.43569,0.10931,2.84697,1.82463,3.18289,0.0010892,0.0010892,0.0010892
25,129.343,1.10734,0.80307,1.23774,0.46815,0.44068,0.30923,0.08078,3.1289,1.73967,4.51888,0.0010496,0.0010496,0.0010496
26,134.117,1.05638,0.77723,1.21961,0.61496,0.50847,0.45007,0.12965,2.79455,1.64309,3.59081,0.00101,0.00101,0.00101
27,138.962,1.06251,0.75761,1.2244,0.51501,0.52542,0.44082,0.11874,2.86675,1.66715,3.55818,0.0009704,0.0009704,0.0009704
28,144.395,0.98999,0.7037,1.16619,0.59021,0.38983,0.39935,0.10652,3.05443,1.57684,3.79195,0.0009308,0.0009308,0.0009308
29,149.364,0.99107,0.69857,1.16897,0.51122,0.49153,0.38775,0.10071,3.10438,1.61668,4.4072,0.0008912,0.0008912,0.0008912
30,154.258,0.96108,0.6792,1.16279,0.44232,0.55123,0.38361,0.08435,3.05667,1.77481,4.07525,0.0008516,0.0008516,0.0008516
31,159.134,0.94037,0.66656,1.1308,0.56749,0.50847,0.4163,0.12284,2.83434,1.68915,3.45706,0.000812,0.000812,0.000812
32,164.613,0.92369,0.66289,1.12918,0.39662,0.47458,0.29638,0.09571,2.78526,1.86697,3.46088,0.0007724,0.0007724,0.0007724
33,169.186,0.94214,0.66749,1.1377,0.5051,0.55361,0.48212,0.11521,2.99492,1.58178,3.96235,0.0007328,0.0007328,0.0007328
34,173.772,0.87221,0.63838,1.09939,0.54487,0.44068,0.39693,0.09465,3.10532,1.7729,4.10334,0.0006932,0.0006932,0.0006932
35,178.523,0.86864,0.62739,1.08558,0.57553,0.4827,0.47593,0.12942,2.99305,1.69853,3.82715,0.0006536,0.0006536,0.0006536
36,183.126,0.84576,0.60836,1.07566,0.5714,0.50847,0.43136,0.12303,2.92516,1.50915,3.8881,0.000614,0.000614,0.000614
