epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.83024,1.89003,2.61208,1.9954,0.24321,0.30508,0.16792,0.04162,3.02136,3.28621,2.88543,0.000662037,0.000662037,0.000662037
2,17.8352,1.29488,1.59,1.37973,0.17635,0.16949,0.13,0.03945,2.6358,2.83461,2.39918,0.00131555,0.00131555,0.00131555
3,27.6276,1.1573,1.24285,1.27141,0.17138,0.23729,0.14362,0.04305,2.9519,2.57661,2.99271,0.00195586,0.00195586,0.00195586
4,37.626,1.03368,1.0295,1.20474,0.23001,0.37468,0.20978,0.07267,2.41243,2.23434,2.22962,0.0019406,0.0019406,0.0019406
5,47.3842,0.99823,0.915,1.16805,0.30072,0.42276,0.34407,0.11322,2.4623,2.02967,2.406,0.0019208,0.0019208,0.0019208
6,55.5733,0.89531,0.79952,1.11076,0.36465,0.38983,0.34639,0.07929,2.87059,1.89803,2.85903,0.001901,0.001901,0.001901
7,62.5928,0.86356,0.73656,1.08633,0.3427,0.45763,0.3556,0.10174,2.55557,1.95509,2.32696,0.0018812,0.0018812,0.0018812
8,70.5681,0.84203,0.71398,1.08613,0.2744,0.52542,0.28795,0.07865,2.51165,1.90277,2.43173,0.0018614,0.0018614,0.0018614
9,76.9132,0.77693,0.67588,1.05873,0.47029,0.38983,0.45044,0.09882,2.74668,1.78655,2.79371,0.0018416,0.0018416,0.0018416
10,85.3082,0.77132,0.65502,1.05097,0.4463,0.32203,0.34722,0.10576,2.58151,1.9052,2.43061,0.0018218,0.0018218,0.0018218
11,94.208,0.72424,0.60336,1.02212,0.50315,0.53216,0.40584,0.09124,2.86545,1.74946,2.72168,0.001802,0.001802,0.001802
12,101.367,0.68704,0.58993,1.01632,0.28252,0.62712,0.34464,0.08891,2.54278,1.96495,2.4101,0.0017822,0.0017822,0.0017822
13,108.641,0.6826,0.56796,1.00508,0.37261,0.47458,0.33886,0.08896,2.81119,1.77528,2.70401,0.0017624,0.0017624,0.0017624
14,117.58,0.65373,0.54656,0.99199,0.41316,0.35593,0.30935,0.07042,2.93634,1.91195,3.42715,0.0017426,0.0017426,0.0017426
15,126.203,0.64278,0.53653,0.98912,0.37467,0.44068,0.3579,0.10975,2.49443,1.76305,2.25513,0.0017228,0.0017228,0.0017228
16,133.045,0.61895,0.5163,0.9809,0.41946,0.62712,0.4928,0.13963,2.63436,1.74624,2.35975,0.001703,0.001703,0.001703
